Anno solare,CLASSE,LAUREATI_FEMMINE
2001.0,Scienze dell'architettura e dell'ingegneria edile,0.0
2001.0,Scienze dell'architettura e dell'ingegneria edile,0.0
2001.0,Scienze dell'architettura e dell'ingegneria edile,0.0
2001.0,Scienze dell'architettura e dell'ingegneria edile,0.0
2001.0,Scienze dell'architettura e dell'ingegneria edile,7.0
2001.0,Scienze dell'architettura e dell'ingegneria edile,0.0
2001.0,Scienze dell'architettura e dell'ingegneria edile,0.0
2001.0,Scienze dell'architettura e dell'ingegneria edile,0.0
2001.0,Specialistiche in architettura e ingegneria edile,0.0
2001.0,Specialistiche in architettura e ingegneria edile,0.0
2001.0,Specialistiche in architettura e ingegneria edile,2.0
2001.0,Ingegneria civile e ambientale,1.0
2001.0,Ingegneria civile e ambientale,0.0
2001.0,Ingegneria civile e ambientale,0.0
2001.0,Ingegneria civile e ambientale,0.0
2001.0,Ingegneria civile e ambientale,0.0
2001.0,Ingegneria civile e ambientale,0.0
2001.0,Ingegneria civile e ambientale,1.0
2001.0,Ingegneria civile e ambientale,0.0
2001.0,Ingegneria civile e ambientale,0.0
2001.0,Ingegneria civile e ambientale,14.0
2001.0,Ingegneria civile e ambientale,4.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,10.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,1.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,7.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,0.0
2001.0,Ingegneria dell'informazione,0.0
